atc_idx,atc_code
1205,C01CA17
1206,C01CA18
1207,C01CA19
1208,C01CA21
1209,C01CA22
1210,C01CA23
1211,C01CA24
1212,C01CA25
1213,C01CA26
1214,C01CA27
1215,C01CA30
1216,C01CA51
1217,C01CE
1218,C01CE01
1219,C01CE02
1220,C01CE03
1221,C01CE04
1222,C01CX
1223,C01CX06
1224,C01CX07
1225,C01CX08
1226,C01CX09
1227,C01D
1228,C01DA
1229,C01DA02
1230,C01DA04
1231,C01DA05
1232,C01DA07
1233,C01DA08
1234,C01DA09
1235,C01DA13
1236,C01DA14
1237,C01DA20
1238,C01DA38
1239,C01DA52
1240,C01DA54
1241,C01DA55
1242,C01DA57
1243,C01DA58
1244,C01DA59
1245,C01DA63
1246,C01DA70
1247,C01DB
1248,C01DB01
1249,C01DX
1250,C01DX01
1251,C01DX02
1252,C01DX03
1253,C01DX04
1254,C01DX05
1255,C01DX06
1256,C01DX07
1257,C01DX08
1258,C01DX09
1259,C01DX10
1260,C01DX11
1261,C01DX12
1262,C01DX13
1263,C01DX14
1264,C01DX15
1265,C01DX16
1266,C01DX18
1267,C01DX19
1268,C01DX21
1269,C01DX22
1270,C01DX51
1271,C01DX52
1272,C01DX53
1273,C01DX54
1274,C01E
1275,C01EA
1276,C01EA01
1277,C01EB
1278,C01EB02
1279,C01EB03
1280,C01EB04
1281,C01EB05
1282,C01EB06
1283,C01EB07
1284,C01EB09
1285,C01EB10
1286,C01EB11
1287,C01EB13
1288,C01EB15
1289,C01EB16
1290,C01EB17
1291,C01EB18
1292,C01EB21
1293,C01EB22
1294,C01EB23
1295,C01EX
1296,C02
1297,C02A
1298,C02AA
1299,C02AA01
1300,C02AA02
1301,C02AA03
1302,C02AA04
1303,C02AA05
1304,C02AA06
1305,C02AA07
1306,C02AA52
1307,C02AA53
1308,C02AA57
1309,C02AB
1310,C02AB01
1311,C02AB02
1312,C02AC
1313,C02AC01
1314,C02AC02
1315,C02AC04
1316,C02AC05
1317,C02AC06
1318,C02B
1319,C02BA
1320,C02BA01
1321,C02BB
1322,C02BB01
1323,C02BC
1324,C02C
1325,C02CA
1326,C02CA01
1327,C02CA02
1328,C02CA03
1329,C02CA04
1330,C02CA06
1331,C02CC
1332,C02CC01
1333,C02CC02
1334,C02CC03
1335,C02CC04
1336,C02CC05
1337,C02CC06
1338,C02CC07
1339,C02D
1340,C02DA
1341,C02DA01
1342,C02DB
1343,C02DB01
1344,C02DB02
1345,C02DB03
1346,C02DB04
1347,C02DC
1348,C02DC01
1349,C02DD
1350,C02DD01
1351,C02DG
1352,C02DG01
1353,C02K
1354,C02KA
1355,C02KA01
1356,C02KB
1357,C02KB01
1358,C02KC
1359,C02KC01
1360,C02KD
1361,C02KD01
1362,C02KX
1363,C02KX01
1364,C02KX02
1365,C02KX03
1366,C02KX04
1367,C02KX05
1368,C02KX52
1369,C02L
1370,C02LA
1371,C02LA01
1372,C02LA02
1373,C02LA03
1374,C02LA04
1375,C02LA07
1376,C02LA08
1377,C02LA09
1378,C02LA50
1379,C02LA51
1380,C02LA52
1381,C02LA71
1382,C02LB
1383,C02LB01
1384,C02LC
1385,C02LC01
1386,C02LC05
1387,C02LC51
1388,C02LE
1389,C02LE01
1390,C02LF
1391,C02LF01
1392,C02LG
1393,C02LG01
1394,C02LG02
1395,C02LG03
1396,C02LG51
1397,C02LG73
1398,C02LK
1399,C02LK01
1400,C02LL
1401,C02LL01
1402,C02LN
1403,C02LX
1404,C02LX01
1405,C03
1406,C03A
1407,C03AA
1408,C03AA01
1409,C03AA02
1410,C03AA03
1411,C03AA04
1412,C03AA05
1413,C03AA06
1414,C03AA07
1415,C03AA08
1416,C03AA09
1417,C03AA13
1418,C03AB
1419,C03AB01
1420,C03AB02
1421,C03AB03
1422,C03AB04
1423,C03AB05
1424,C03AB06
1425,C03AB07
1426,C03AB08
1427,C03AB09
1428,C03AH
1429,C03AH01
1430,C03AH02
1431,C03AX
1432,C03AX01
1433,C03B
1434,C03BA
1435,C03BA02
1436,C03BA03
1437,C03BA04
1438,C03BA05
1439,C03BA07
1440,C03BA08
1441,C03BA09
1442,C03BA10
1443,C03BA11
1444,C03BA12
1445,C03BA13
1446,C03BA82
1447,C03BB
1448,C03BB02
1449,C03BB03
1450,C03BB04
1451,C03BB05
1452,C03BB07
1453,C03BC
1454,C03BC01
1455,C03BD
1456,C03BD01
1457,C03BK
1458,C03BX
1459,C03BX03
1460,C03C
1461,C03CA
1462,C03CA01
1463,C03CA02
1464,C03CA03
1465,C03CA04
1466,C03CB
1467,C03CB01
1468,C03CB02
1469,C03CC
1470,C03CC01
1471,C03CC02
1472,C03CD
1473,C03CD01
1474,C03CX
1475,C03CX01
1476,C03D
1477,C03DA
1478,C03DA01
1479,C03DA02
1480,C03DA03
1481,C03DA04
1482,C03DA05
1483,C03DB
1484,C03DB01
1485,C03DB02
1486,C03E
1487,C03EA
1488,C03EA01
1489,C03EA02
1490,C03EA03
1491,C03EA04
1492,C03EA05
1493,C03EA06
1494,C03EA07
1495,C03EA12
1496,C03EA13
1497,C03EA14
1498,C03EB
1499,C03EB01
1500,C03EB02
1501,C03X
1502,C03XA
1503,C03XA01
1504,C03XA02
1505,C04
1506,C04A
1507,C04AA
1508,C04AA01
1509,C04AA02
1510,C04AA31
1511,C04AB
1512,C04AB01
1513,C04AB02
1514,C04AC
1515,C04AC01
1516,C04AC02
1517,C04AC03
1518,C04AC07
1519,C04AD
1520,C04AD01
1521,C04AD02
1522,C04AD03
1523,C04AD04
1524,C04AE
1525,C04AE01
1526,C04AE02
1527,C04AE04
1528,C04AE51
1529,C04AE54
1530,C04AF
1531,C04AF01
1532,C04AX
1533,C04AX01
1534,C04AX02
1535,C04AX07
1536,C04AX10
1537,C04AX11
1538,C04AX17
1539,C04AX19
1540,C04AX20
1541,C04AX21
1542,C04AX23
1543,C04AX24
1544,C04AX26
1545,C04AX27
1546,C04AX28
1547,C04AX30
1548,C04AX32
1549,C05
1550,C05A
1551,C05AA
1552,C05AA01
1553,C05AA04
1554,C05AA05
1555,C05AA06
1556,C05AA08
1557,C05AA09
1558,C05AA10
1559,C05AA11
1560,C05AA12
1561,C05AB
1562,C05AD
1563,C05AD01
1564,C05AD02
1565,C05AD03
1566,C05AD04
1567,C05AD05
1568,C05AD06
1569,C05AD07
1570,C05AE
1571,C05AE01
1572,C05AE02
1573,C05AE03
1574,C05AX
1575,C05AX01
1576,C05AX02
1577,C05AX03
1578,C05AX04
1579,C05AX05
1580,C05B
1581,C05BA
1582,C05BA01
1583,C05BA02
1584,C05BA03
1585,C05BA04
1586,C05BA51
1587,C05BA53
1588,C05BB
1589,C05BB01
1590,C05BB02
1591,C05BB03
1592,C05BB04
1593,C05BB05
1594,C05BB56
1595,C05BX
1596,C05BX01
1597,C05BX51
1598,C05C
1599,C05CA
1600,C05CA01
1601,C05CA02
1602,C05CA03
1603,C05CA04
1604,C05CA05
1605,C05CA51
1606,C05CA53
1607,C05CA54
1608,C05CX
1609,C05CX01
1610,C05CX02
1611,C05CX03
1612,C07
1613,C07A
1614,C07AA
1615,C07AA01
1616,C07AA02
1617,C07AA03
1618,C07AA05
1619,C07AA06
1620,C07AA07
1621,C07AA12
1622,C07AA14
1623,C07AA15
1624,C07AA16
1625,C07AA17
1626,C07AA19
1627,C07AA23
1628,C07AA27
1629,C07AB
1630,C07AB01
1631,C07AB02
1632,C07AB03
1633,C07AB04
1634,C07AB05
1635,C07AB06
1636,C07AB07
1637,C07AB08
1638,C07AB09
1639,C07AB10
1640,C07AB11
1641,C07AB12
1642,C07AB13
1643,C07AB14
1644,C07AG
1645,C07AG01
1646,C07AG02
1647,C07B
1648,C07BA
1649,C07BA02
1650,C07BA05
1651,C07BA06
1652,C07BA07
1653,C07BA12
1654,C07BA68
1655,C07BB
1656,C07BB02
1657,C07BB03
1658,C07BB04
1659,C07BB06
1660,C07BB07
1661,C07BB12
1662,C07BB52
1663,C07BG
1664,C07BG01
1665,C07C
1666,C07CA
1667,C07CA02
1668,C07CA03
1669,C07CA17
1670,C07CA23
1671,C07CB
1672,C07CB02
1673,C07CB03
1674,C07CB53
1675,C07CG
1676,C07CG01
1677,C07D
1678,C07DA
1679,C07DA06
1680,C07DB
1681,C07DB01
1682,C07E
1683,C07EA
1684,C07EB
1685,C07F
1686,C07FB
1687,C07FB02
1688,C07FB03
1689,C07FB07
1690,C07FB12
1691,C07FB13
1692,C07FX
1693,C07FX01
1694,C07FX02
1695,C07FX03
1696,C07FX04
1697,C07FX05
1698,C07FX06
1699,C08
1700,C08C
1701,C08CA
1702,C08CA01
1703,C08CA02
1704,C08CA03
1705,C08CA04
1706,C08CA05
1707,C08CA06
1708,C08CA07
1709,C08CA08
1710,C08CA09
1711,C08CA10
1712,C08CA11
1713,C08CA12
1714,C08CA13
1715,C08CA14
1716,C08CA15
